,title,content,date,link
0,眼睛霧霧看不清？認識人工水晶體,                        視野白茫茫怎麼眨眼也看不清？小心有可能眼睛水晶體出了問題！水晶體是眼球內的雙凸透鏡扁球體結構，功能為調節眼部的屈光能力。當原本清澈透光的水晶體變得混濁，導致視力模糊，即稱為白內障。隨著科技發展，民眾使用3C產品的時間大幅增加，白內障患者逐漸年輕化，治療白內障的人工水晶體置換手術已成為現今發展成熟且常見的眼科手術之一。    人工水晶體屬第三等級植入式醫療器材，適應症主要為「用於晶體摘除術或超音波晶體乳化術後取代摘除之晶體以矯正視力」，多用於無晶體(如白內障)之患者。透過置換人工水晶體讓光線能清楚聚焦在視網膜，達到改善視覺的效果。此器材一般由合成樹脂（PMMA）、矽質(Silicone)或壓克力(Acrylic)等材質組成。須經衛生福利部食品藥物管理署(下稱食藥署)審查確認其安全及效能後才可以上市。人工水晶體依據其設計可具備不同的功能，例如單焦點人工水晶體可提供一般日常生活所需視力，多焦點人工水晶體可提升白內障患者術後遠、中、近距離視力，而使用淡黃色材質的人工水晶體有濾藍光的效果，進而減少視網膜的負擔。    食藥署提醒，在接受人工水晶體置換手術前務必與眼科醫師充分溝通，依照需求選擇適合的人工水晶體，並遵守醫院提供之手術前、後注意事項。有關醫療器材相關資訊，除可向醫師詢問外，亦可至食品藥物管理署網站之許可證資料庫查詢產品之相關資訊 (連結 :食品藥物管理署首頁http://www.fda.gov.tw>醫療器材>資訊查詢>醫療器材許可證資料庫>西藥、醫療器材許可證相關查詢)。如有發現醫療器材不良品或使用後發生之不良反應，請至藥品醫療器材食品化粧品上市後品質管理系統(http://qms.fda.gov.tw)通報，或撥打不良反應通報專線: 02-2396-0100進行通報。                ,2024-11-27,https://www.fda.gov.tw/tc/newsContent.aspx?cid=4&id=t623252
1,食藥署舉辦「113年度餐飲業建立食品安全管制系統表揚暨研討會」,                      衛生福利部食品藥物管理署（下稱食藥署）於今日（11月21日）舉辦「113年度餐飲業建立食品安全管制系統表揚暨研討會」，本次擇優表揚於111年11月至113年6月期間，首次通過自願性「餐飲業食品安全管制系統（HACCP）衛生評鑑」之業者，共計16家；以及經中央及地方衛生局稽查之餐盒食品工廠、國際觀光旅館、五星級旅館及供應鐵路旅客餐盒等經公告應實施HACCP之業者，共計55家(如附件)。對於符合HACCP的業者，食藥署給予高度肯定，這些業者在製程中導入預防性食品安全管理概念，主動辨識危害及降低風險，確保每一階段的衛生安全。食藥署對這些業者的努力表達嘉勉，期許他們繼續維護民眾飲食安全。  為推動餐飲業建立HACCP，除公告強制業別應實施HACCP外，食藥署積極推動餐飲業參與自願性餐飲業HACCP衛生評鑑制度，對於通過評鑑者發予HACCP衛生評鑑證明書，並透過表揚機制提升業者榮譽感與責任心。本次活動邀請業者及專家代表，分享食品安全自主管理的寶貴經驗。   民眾可至食藥署網站首頁/食品藥物消費者專區/整合查詢服務/食品/HACCP查詢餐飲業通過HACCP評核之業者名單。食藥署呼籲，餐飲業者積極導入HACCP制度，注重從業人員的衛生知能訓練，強化員工在每日作業中的「說、寫、做一致」習慣，以保障產品的安全和品質。期盼餐飲業透過導入HACCP制度，能為消費者提供更安心的飲食環境，提升民眾對餐飲業者的信任。                ,2024-11-21,https://www.fda.gov.tw/tc/newsContent.aspx?cid=4&id=t623244
2,學名藥療效知多少?生體相等性試驗來確保!,"                        當原廠藥專利期滿後，其他藥商可申請含有相同主成分、劑型與劑量的學名藥上市。在原廠藥的療效與安全已被證明的基礎上，學名藥需要透過「藥品生體相等性(Bioequivalence, BE)試驗」過程，證明學名藥與原廠藥之主要成分吸收進入全身血液循環或作用部位的速率及程度(生體可用率)一致，從而支持其療效及安全性。    生體相等性試驗如何確保藥品療效呢? 在執行生體相等性試驗分析時，會將學名藥與原廠藥主要成分之吸收速率及程度等相關參數經轉換後進行統計分析，計算其90%信賴區間介於80%-125%，以確保兩種藥品在人體內的表現足夠接近，從而推論兩藥品在臨床上的療效和安全性不具統計顯著差異，這也是國際法規單位公認的審查標準。    在進行生體相等性試驗之前，藥商須獲得醫院的人體試驗委員/審議會核准。參與者在加入試驗前，會收到詳細的受試者同意書，其內容包含試驗藥品、試驗程序、風險以及應注意事項。參與者經審慎考量後，自願簽署同意書，才可以加入試驗。受試者之權利、安全及福祉為臨床試驗執行中最重要的考量，且其執行過程中應符合「藥品優良臨床試驗作業準則(GCP)」相關規範。    食品藥物管理署（下稱食藥署）於今(113)年出版「藥品臨床試驗受試者保護手冊」，目的在讓民眾更了解藥品臨床試驗及受試者保護，手冊相關資訊置於食藥署官網(首頁>出版品>圖書)，如需要更多訊息，歡迎參訪食藥署官網。                ",2024-11-20,https://www.fda.gov.tw/tc/newsContent.aspx?cid=4&id=t623239
3,2024國家藥科獎得獎名單揭曉！ 金銀銅獎得主各展研發碩果,"                        今(19)日衛生福利部與經濟部共同舉辦的「2024國家藥物科技研究發展獎」(簡稱國家藥科獎)頒獎典禮在國家生技研究園區隆重登場，由衛生福利部及經濟部頒發藥品類、醫療器材類及製造技術類之金、銀、銅質獎，肯定得獎者卓越研發成果，彰顯國內生技醫藥產業研發實力與國際競爭力，未來將持續推動和支持生技醫藥產業的蓬勃發展，鼓勵更多優秀的團隊投入創新研發，期望政府與生技產業攜手，共同推動臺灣成為全球生技醫藥研發重鎮。    今年共有34件申請案，包含幹細胞新藥、智慧醫療器材、可攜式快速檢測儀器及創新製造技術等多樣化產品參與角逐，其中22件榮獲入圍，最終有9件獲得國家級獎項，包括「藥品類」銀質獎2件、銅質獎1件(金質獎從缺)；「醫療器材類」金質獎1件、銀質獎1件及銅質獎1件；「製造技術類」銀質獎1件、銅質獎2件(金質獎從缺)，展現健康臺灣的創新研發量能！恭喜以下獲獎者:【藥品類_銀質獎  仲恩生醫科技股份有限公司「Stemchymal®」】應用於治療小腦萎縮症之人類異體脂肪來源間質幹細胞產品，在臺灣神經罕見疾病的異體間質幹細胞藥物開發上具有領先地位。【藥品類_銀質獎  昱展新藥生技股份有限公司「治療鴉片類成癮症長效緩釋針劑 ALA-1000」】目前獨步全球唯一臨床驗證單次皮下注射後可緩釋達6個月的丁基原啡因(buprenorphine)長效針劑，可減輕病患每日服藥負擔。【藥品類_銅質獎  台新藥股份有限公司「眼科術後發炎疼痛治療新藥-丙酸氯倍他索點眼懸液APP13007」】以APNT®奈米微粒製劑技術開發之類固醇滴眼液，已於美國獲准上市治療眼科術後發炎疼痛症狀。【醫療器材類_金質獎  中國醫藥大學附設醫院高嘉鴻主任醫療團隊「骨閃爍顯像電腦輔助偵測平台」】藉由AI演算法分析20歲以上之成年癌症患者全身骨閃爍顯像醫療器材軟體，並偵測是否有疑似骨轉移情形，輔助醫事人員臨床判讀及診斷。【醫療器材類_銀質獎  晶神醫創股份有限公司「“希玖探索者”腦波描記器及皮質電極刺激器系統」】由團隊開發之國產系統單晶片(System on Chip, SoC)，透過顱內電極即時量測64通道腦波訊號，可任選二通道輸出雙相位神經電刺激訊號，協助醫師進行個人化腦功能圖譜繪圖程序，有效改善臨床診斷及治療效能。【醫療器材類_銅質獎  聿新生物科技股份有限公司「易美測進階型血糖/膽固醇/尿酸/血紅素/三酸甘油脂監測系統」】可攜式儀器使用微量指尖血進行五合一快速檢測，並結合手機的App管理數據，多方位掌握健康狀態，有助於遠距醫療或在宅醫療照護。【製造技術類_銀質獎  全球安聯科技股份有限公司「骨水平系列植體」】人工牙根植體的型態設計及表面處理為特點，可加速植體植入後骨整合的時間，並縮短臨床治療時間，提高植牙手術之成功率。【製造技術類_銅質獎  向榮生醫科技股份有限公司「幹細胞分泌物量產技術與應用」】採專利量產技術，以三維培養方式導入生物反應器擴增細胞，且採特殊保存技術使分泌物長期維持最佳活性，可大幅提升外泌體等分泌物濃度。【製造技術類_銅質獎  水星生醫股份有限公司「Stackdose 新藥開發技術平台(MDBP V2.0 口溶錠)」】將多道製藥環節整合於一台縮小化設備之創新製藥技術，整合獨有的配方與黏合技術、3D粉末列印製造技術及多種軟硬體，能客製化開發特殊需求藥錠與其量產級製程。    國家藥物科技研究發展獎相關資訊，請至食藥署官方網站「國家藥物科技研究發展獎」主題專區（http://www.fda.gov.tw/tc/siteList.aspx?sid=8917）查詢！                ",2024-11-19,https://www.fda.gov.tw/tc/newsContent.aspx?cid=4&id=t623237
4,發布修正農藥殘留容許量標準 加強食品殘留農藥管理,                        衛生福利部於本(18)日發布修正「農藥殘留容許量標準」及「動物產品中農藥殘留容許量標準」，修正內容為增修訂亞醌蟎等21種農藥於135項農作物之殘留容許量、刪除益發靈農藥之12項殘留容許量、增列貝萊斯芽孢桿菌N17、液化澱粉芽孢桿菌PMB01為得免訂殘留容許量之農藥、增列「大克蟎」及「陶斯松」為公告禁用農藥，以及增修訂克凡派等11種農藥於禽、畜產品之殘留容許量。    我國對於農藥之核准登記及修訂殘留容許量，分別由農業部及衛生福利部依權責辦理。針對進口農產品，因其農作物生長環境、病蟲害防治及用藥方法與國內情形不同，為國民飲食需求，係由衛生福利部食品藥物管理署參酌先進國家作法，受理增修訂進口農產品殘留農藥容許量之申請。農藥殘留容許量之修正，經審核農藥之毒性資料、農作物殘留量消退試驗資料、核准登記使用方法等科學性資料，參酌國際間標準，評估國人對各類農作物取食總量之累積風險，並會商農業部，經專家委員審核通過，期在保護國內消費者飲食安全之前提下，讓農藥之使用及管理更加合理化。    衛生福利部食品藥物管理署持續監測市售農產品之農藥殘留，如發現有違反農藥殘留容許量標準之規定者，依違反食品安全衛生管理法第15條第1項第5款規定，依同法第44條第1項第2款處新臺幣6萬元以上2億元以下罰鍰，並由地方政府衛生局聯合農業機關追查供應來源及殘留原因，依法處辦，讓民眾食的安心。                ,2024-11-18,https://www.fda.gov.tw/tc/newsContent.aspx?cid=4&id=t623229
5,正確使用鎮靜安眠藥 您知道嗎?,"                      鎮靜安眠藥並非解決失眠問題的萬靈丹，誤用或濫用皆可能導致成癮。為確保民眾用藥安全，衛生福利部食品藥物管理署(以下簡稱食藥署)建議民眾注意避免「五不」事項及遵守「四要」原則。「五不」為「一、不自行購買鎮靜安眠藥」、「二、不擅自增量或停藥」、「三、不併用酒精性飲料」、「四、不開車或操作機具」、「五、不轉售或轉讓」；以及「四要」為「一、用藥要遵照醫師處方」、「二、用藥要配白開水」、「三、用藥後要馬上就寢」、「四、要配合調整睡眠作息」，提醒民眾瞭解正確使用鎮靜安眠藥之重要性，避免不當使用管制藥品情形與濫用危害發生。  食藥署基於預防勝於治療理念，與臺灣健康促進學校協會合作，於全國北、中、南、東成立「正確使用鎮靜安眠藥暨藥物濫用防制衛教中心(下稱衛教中心)」辦理衛教活動，並延伸至醫療院所、社區及校園等場域。為讓民眾能深刻體驗正確使用鎮靜安眠藥相關內容，衛教活動採互動遊戲方式推廣，增加活動趣味性及可近性。截至113年10月底共辦理300場次、19,155人次獲益。本年度新製作教具(如「助眠好習慣」等)已放置各衛教中心，食藥署歡迎各機關、團體有興趣或有需求者可聯繫各衛教中心安排相關衛教活動。  食藥署提醒您，有使用鎮靜安眠藥問題應諮詢醫師或藥師；平時宜培養正常生活作息，少用3C產品、適當運動，才能有良好睡眠品質，健康快樂度過每一天。如欲瞭解更多相關資訊，請至食藥署「反毒資源專區」網站(http://www.fda.gov.tw/TC/site.aspx?sid=10070&r =1991516742)查詢。",2024-11-13,https://www.fda.gov.tw/tc/newsContent.aspx?cid=4&id=t623215
6,避免採食不明野菇引發食品中毒,                        台灣屬於亞熱帶氣候，溼熱多雨的環境適合許多種類的蕈菇生長，尤其是雨後山間、農地、草地、竹林經常會長出朵朵小傘狀的蕈菇，若摘下煮食可能讓自身暴露於食品中毒的風險。近年食品藥物管理署(下稱食藥署)受理了4例各縣市政府衛生局送驗因民眾自行採食野菇而引發食品中毒之案例，經分子生物檢驗技術進行DNA物種鑑別，確認有3例為綠褶菇(Chlorophyllum molybdites)，1例為擬灰花紋鵝膏(Amanita fuligineoides)。    由於有毒蕈菇可能與部分可食性蕈菇的外觀極為相似，時常導致民眾混淆而發生誤食而引發中毒症狀，如有毒的綠褶菇與擬灰花紋鵝膏可能被當成可食用的菇類。綠褶菇全株有毒，生長季節多為春夏秋季，廣泛分布在台灣平原地區，民眾自行採摘誤食機率大，臨床症狀常見有噁心、嘔吐、腹痛、血便及脫水等腸胃炎症狀。擬灰花紋鵝膏則含有強烈的毒性成分環肽毒素，可能對人體肝臟、腎臟和中樞神經系統造成嚴重損害。    食藥署提醒民眾看到路邊生長出來之野生菇類，應遵守「不採不食」的原則，也不要餽贈親友，以避免因誤食而危害身體健康。若民眾因誤食不明野菇出現生理不適的中毒症狀時，應儘速就醫並保留食餘檢體，以利正確診斷與治療。,2024-11-06,https://www.fda.gov.tw/tc/newsContent.aspx?cid=4&id=t623202
7,正確佩戴醫用口罩，預防飛沫傳染,                    　時序入秋，呼吸道疾病開始進入流行期，正確選用及佩戴醫用口罩可以降低飛沫傳播，減少呼吸道感染的機率。食品藥物管理署（下稱食藥署）提醒，醫用口罩是醫療器材，民眾選購時應向合法醫療器材商或藥局購買，並應認明產品的醫療器材許可證字號，產品安全及效能才有保障。　食藥署說明，常見的醫用口罩大多有三層結構，最外層有防撥水效果，可阻擋飛沫及異物，中間的過濾層可過濾細菌，裡面的親膚層則可少量吸收濕氣及水分，觸感較柔，使佩戴較為舒適。醫用口罩可以防止病人與醫護人員之間的微生物、體液以及粒狀物質的傳遞，須由合格的醫療器材製造業者製造，符合CNS 14774國家標準才能上市。另，N95（或TN95）之口罩須符合CNS 14755 國家標準，主要特點是能過濾95%以上的微小粒狀物，正確佩戴的話密合度非常高，也因此呼吸阻力很大且悶熱不適，難以長時間佩戴且有缺氧風險，通常供專業人員在高風險的環境下使用，不建議一般民眾日常使用。　食藥署提醒，領有執照的醫療器材商或藥局才能販售醫用口罩，醫療器材商或藥局也可於通訊交易通路（包括網路）販售，但須在通路提供消費者醫療器材品名、許可證字號、製造業者的詳細資訊，也須載明販售業者之名稱、地址、許可執照字號及諮詢專線電話等，才符合相關規定，有利消費者選購，也保障消費者權益。民眾若有多餘的醫用口罩也不可自行販售，以免觸法。　食藥署強調，消費者選用醫用口罩時應遵循一認、二看、三會用的原則，以保障產品效能及安全性：1.　認識醫用口罩是醫療器材。2.　選購時認明醫療器材商或藥局的許可執照，看清楚產品的醫療器材許可證字號，並可至食藥署的醫療器材許可證資料庫查詢相關資訊（路徑:食藥署首頁http://www.fda.gov.tw > 業務專區 > 醫療器材 > 醫療器材許可證資料庫），國產的醫用平面口罩也會有「MD」及「Made in Taiwan」的雙鋼印。3.　依照使用說明書正確佩戴：防水層朝外（通常是有色面，也可看鋼印字樣辨別），可用「開、戴、壓、密」口訣協助正確使用。　食藥署說明，消費者使用醫療器材若有發現產品問題，或因使用醫療器材發生不良反應，除了向產品原購買來源業者反應外，請立即通報衛生福利部建置之「全國藥物不良反應通報中心」（醫療器材不良反應通報專線 (02) 2396-0100，網站：http://qms.fda.gov.tw）。食藥署將持續把關醫用口罩的安全及效能，也請民眾正確、適當選購，在有需要的時候正確佩戴醫用口罩，保護自己也保護他人健康。,2024-10-30,https://www.fda.gov.tw/tc/newsContent.aspx?cid=4&id=t623178
8,食藥署說明媒體報導食藥署同仁出入不當場所之查處情形,                        有關113年10月25日部分媒體報導，食藥署同仁於酒店兼職一案，食藥署於上週五（113年10月18日）接獲檢舉後，立即由政風室啟動調查，該女性公務人員承認曾經多次出入不當場所，但否認兼職。    因本案已嚴重影響機關聲譽，並引發負面觀感，食藥署旋於今日（113年10月25日）召開考績會決議，依公務人員考績法及相關規定，針對該員行為處以「一大過二小過」處分，並調離現職。                ,2024-10-25,https://www.fda.gov.tw/tc/newsContent.aspx?cid=4&id=t623174
9,Trick or Treat!萬聖糖果標示藏攻略？,    「Trick or Treat! Trick or Treat!不給糖就搗蛋！」充滿樂趣的西洋萬聖節即將來臨，小朋友穿著各式萬聖節裝扮玩「Trick or Treat」，等著被要糖的鄰居家長或師長們，快來跟著食藥署，學習萬聖節挑選糖果的行前準備吧！     市售完整包裝的糖果，應依食品安全衛生管理法第22條規定，用中文及通用符號標示產品的品名、所含內容物名稱、淨重、容量或數量、所添加的食品添加物(例如色素等)名稱、製造廠商或國內負責廠商之名稱、電話號碼及地址、原產地(國)、有效日期、營養標示等內容，以及經衛生福利部公告的事項，像是要標示食品過敏原等。     此外，市售包裝糖果常含有芒果、花生、牛奶/羊奶、堅果類、芝麻等食品過敏原，民眾應特別留意外包裝標示的「本產品含有○○」、「本產品含有○○，不適合對其過敏體質者食用」等相關警語。     最後，食藥署提醒，市售糖果多為顆粒狀，兒童整顆食用時，如果在未留意的情況下活動，可能造成含在口中的糖果直接吞下，增加噎到或嗆到的風險，因此，家長除了挑選糖果時留意包裝及過敏原標示外，也儘量減少糖分攝取並隨時留意兒童的食用安全，避免發生危險。,2024-10-23,https://www.fda.gov.tw/tc/newsContent.aspx?cid=4&id=30785
