,title,content,date,link
0,人工智慧精準抽驗，優化食安邊境管理,"                    食品藥物管理署(下稱食藥署)自109年3月5日起於邊境導入大數據分析技術，建置「邊境預測智能系統（Border Prediction Intelligent System, BPI）」，挖掘潛在食安風險，輔助邊境不合格產品命中之精準度，將問題產品阻絕於境外。以生鮮冷藏冷凍水果為例，導入前後的平均不合格率由3.0%提升至3.8%，顯示精準抽驗的成效。我國輸入的產品逐年增加，100年起至113年底已自40萬餘批增加至76萬餘批，在人力、經費有限及產品多元化的情況下，又需兼顧通關時效，爰食藥署於109年間起開始導入BPI之人工智慧技術，輔助邊境抽驗之決策。業者申報輸入食品及相關產品時，首先透過食藥署負責掌理全國輸入食品資訊之「邊境查驗自動化管理資訊系統(Import Food Information System, IFI)」核判，倘屬IFI判定為一般或加強抽批機率的產品，則由BPI之人工智慧AI預測智能模型進行風險預測。BPI是蒐集國內外開放資料及食品雲相關系統資料，藉由7種機器學習演算法運算100多個特徵因子(包含產品報驗資料、歷史違規紀錄、國內外食品安全警訊等資訊)建立預測模型，利用大數據即時運算風險機率，並以7種演算法集成投票以決定是否抽驗。再由IFI依據產品風險項目及邊境查驗人員的經驗綜整判斷檢驗項目，以進行後續的取樣檢驗，倘檢驗結果為不合格的產品，業者應辦理退運或銷毀，以阻擋不合格產品於境外，同時針對該產品也會提高其抽驗機率，最高至100%逐批查驗。以每年報驗批數達3萬餘批，查驗機率為2~10%的一般抽批查驗之生鮮冷藏冷凍水果分析，於導入BPI前後的抽驗結果，其平均檢驗率下降2.4%，約可減少檢驗費用400餘萬元，不合格命中率由3.0%提升至3.8%，提升約三成，顯示以較少的人力物力達到精準抽驗之成效。食藥署利用IFI與BPI的2個系統協同合作，與邊境查驗人員共同守護國人的食用健康安全。",2025-06-11,https://www.fda.gov.tw/tc/newsContent.aspx?cid=4&id=t623633
1,發布修正食品良好衛生規範準則,        為持續精進業者實施衛生管理及配合實務需求，衛生福利部(下稱衛福部)於本(4)日發布修正「食品良好衛生規範準則」。本次修正重點羅列如下：一、修正製程及品質管制、檢驗與量測管制、文件與紀錄保存等規定，適用對象由製造業擴大為所有食品業者。二、增訂改變原設定倉儲、運輸條件者，應有合理原因及依據、抽測運輸車廂體內環境溫度。三、增訂以具冷凍及冷藏功能之運輸設備廂體運送訂有保存溫度者，抽測車廂體或容器內環境溫度，裝載冷凍食品者環境溫度不得高於攝氏負十二度。四、修正食品從業人員管理，刪除結核病檢查；教育訓練可由業者自行或委託專業機構辦理；定明新進食品從業人員應經至少三小時教育訓練及從業期間每年至少三小時教育訓練；於作業場所工作應戴口罩。五、增訂外送平台業提供食品外送服務，其外送員及外送食品過程，應遵循之衛生管理規定。六、強化食品添加物販售管理，增訂販售食品添加物應專區、專人及專冊管理。七、增訂製備菜餚其貯存及供應應有時間及溫度管理；調理即食食品，從業人員手部不得同時或接續接觸金錢或其他有污染之虞物品之規定。八、低酸性及酸化罐頭食品製造業修正為熱殺菌密閉容器包裝低酸性食品及酸化食品製造業。九、新增管理業別，食品器具、食品容器或包裝製造業，由塑膠材質業者擴大管理至各類材質業者；新增食品用洗潔劑製造業專章。        食品良好衛生規範準則為所有食品業者實施衛生管理重要準則，奠定食品安全之基礎。詳細訊息可至衛福部食品藥物管理署網站(http://www.fda.gov.tw/)之「本署公告」網頁查詢。        衛福部食品藥物管理署與地方政府衛生局持續查核業者實施情形，如發現有違反食品良好衛生規範準則規定者，依違反食品安全衛生管理法第8條第1項規定，依同法第44條第1項第1款，經命其限期改正，屆期不改正，處新臺幣6萬元以上2億元以下罰鍰。,2025-06-04,https://www.fda.gov.tw/tc/newsContent.aspx?cid=4&id=31086
2,公告修正「鮮乳保久乳調味乳乳飲品及乳粉品名及標示規定」，名稱並修正為「食用動物乳保久乳調味乳乳飲品及乳粉品名及標示規定」,                        為使消費者更加瞭解乳製產品資訊，避免混淆，衛福部於114年6月3日公告修正「鮮乳保久乳調味乳乳飲品及乳粉品名及標示規定」，名稱並修正為「食用動物乳保久乳調味乳乳飲品及乳粉品名及標示規定」。本次修正重點如下:1.修正用詞及品名標示規定：參酌國際規範用詞，修正「鮮乳」用詞為「食用動物乳」，品名應標示為「牛乳」、「羊乳」等名稱，另考量現行中央農業主管機關核發之鮮乳標章或相關驗證標章名稱，為避免消費者混淆，明定僅取得「鮮乳標章」，或農產品生產及驗證管理法之「驗證標章」者，始得標示為「鮮乳」。2.增修液態乳產品字體大小應依體積調整之標示規定。3.成分調整清楚標示：針對食用動物乳、保久乳及乳粉產品倘屬乳脂肪、乳糖調整者，應於品名或外包裝明顯處標示「乳脂肪經調整」、「乳糖經調整」或其他足以表徵成分經調整之等同意義字樣，符合中華民國國家標準(CNS)或本公告附表一者，得逕以「全脂」、「低脂」、「無乳糖」標示之。4.擴大規範對象：納入嬰兒配方食品、較大嬰兒配方輔助食品及特殊醫療用途嬰兒配方食品為規範對象。    本規定除上述涉及鮮乳品名標示，自115年7月1日生效外，其餘修正規定自116年7月1日正式生效，以產品製造日期為準。詳細訊息可至衛生福利部食品藥物管理署網站(www.fda.gov.tw)之「本署公告」網頁查詢。,2025-06-03,https://www.fda.gov.tw/tc/newsContent.aspx?cid=4&id=t623619
3,食藥署澄清外界質疑新冠快篩審查過快與超商能否販售之疑慮。,                    　　食藥署說明，家用新型冠狀病毒檢驗試劑屬第三等級醫療器材，均經食藥署嚴格審查，確認產品安全有效性，始核發許可證，領有販賣業醫療器材商執照的店家或藥局，皆可合法販售。針對食藥署於114年5月21日新核發一張家用新冠快篩試劑許可證的審查歷程，澄清如下：　　業者於113年7月提出查驗登記申請，經食藥署專業審查與檢驗，於114年5月確認符合「醫療器材許可證核發與登錄及年度申報準則」及「新型冠狀病毒抗原檢驗試劑技術基準」相關規定，始核發醫療器材許可證，並無三個工作天就核准下來之情事。　　食藥署強調，為滿足國內民眾使用快篩試劑需求，已協調試劑廠商擴大生產並請藥局、具醫療器材販賣許可執照的超商或藥粧店通路等業者協助鋪貨，以利民眾購買。,2025-05-29,https://www.fda.gov.tw/tc/newsContent.aspx?cid=4&id=t623613
4,吃粽沾醬不踩雷！你最粽意哪一味？安心最對味,　　隨著端午節腳步接近，家家戶戶紛紛準備各式粽子應景，而各種風味沾醬更是讓傳統美食加分的靈魂配角！從鹹香的辣椒醬、甜辣醬、海山醬，到創意搭配的煉乳、果糖等甜味醬料，這些醬料不僅風味各異，其背後的製造流程也大不相同。 　　辣椒醬、甜辣醬與海山醬皆屬鹹味醬料，辣椒醬係以辣椒研磨後添加調味料，經烹煮與充填製成；甜辣醬與海山醬則以辣椒醬為基底，另加入番茄醬或味噌等其他調味副原料調配而成。這類醬料在製程中經加熱處理，並透過降低水活性或調整酸鹼值等來延長保存期限。 　　煉乳、果糖及砂糖屬於常見的甜味調味醬，煉乳是將原料乳經濃縮製成；果糖則由玉米澱粉經糖化與濃縮製成；砂糖則來自甘蔗，經壓榨、澄清、結晶與分蜜等程序製成，這些產品含有較高糖分，是抑制微生物孳生的關鍵。 　　品嚐粽香美味同時，需留意醬料含有較高的糖或鈉，請適量食用，並注意選購與保存方式，以避免食安風險影響佳節興致。食品藥物管理署提醒您，選購、保存及食用粽子沾醬要特別留意以下事項：  一、 聰明選購：選擇有食品業者登錄字號及信譽良好的業者，並留意店家環境衛生及儲存條件是否適當。檢查產品包裝完整及標示是否清楚。二、 避免污染：使用時應以乾淨且乾燥器具挖取醬料，且使用完畢後應確實密封貯存，避免微生物污染。三、 適量食用：多數調味醬具有較高鈉含量或糖分，應避免過量攝取。四、 妥善保存：確認產品標示，注意有效日期是以未開封狀態而定，開封後，可放置於冰箱或陰涼處，並儘早食用完畢。,2025-05-28,https://www.fda.gov.tw/tc/newsContent.aspx?cid=4&id=31079
5,家用新冠快篩試劑持續增產，供應民眾防疫需求,                    　　因應國內新冠疫情持續升溫，食品藥物管理署(下稱食藥署)已請新冠快篩試劑許可證業者，依疾病管制署(下稱疾管署)預估國內快篩試劑需求量來擴大產能，目前根據業者提出生產規劃，自本週起家用新冠快篩試劑每週產量可達到疾管署預估需求量之2倍以上。食藥署除持續監控視疫情變化請業者滾動式調整產能，亦於食藥署官網設置「家用新型冠狀病毒檢驗試劑供應資訊專區」，公布國內販售家用新冠快篩試劑通路連結資訊，供各界查詢，滿足國人需求。　　食藥署近日已多次主動聯繫國內連鎖藥局、超商等通路，請其擴大家用新冠快篩試劑的鋪貨與備貨，並已於114年5月26日下午邀集許可證持有者、藥師公會全聯會、連鎖藥局、超商業者、連鎖藥粧店及連鎖醫療器材商共同開會，研商優化物流配送流程，使各供應門市能更即時的補貨，另為使民眾更容易購得家用新冠快篩試劑，食藥署已請上述業者提供販售門市資訊，公布在食藥署官網首頁「家用新型冠狀病毒檢驗試劑供應資訊專區」（https://www.fda.gov.tw/TC/siteContent.aspx?sid=13365），以利民眾查詢後續亦將持續更新。　　家用新冠快篩試劑國內已核准5張許可證，業者分別為寶齡富錦生技股份有限公司、台塑生醫科技股份有限公司、亞培快速診斷設備股份有限公司及泰博科技股份有限公司，相關產品供應資訊亦已公布於食藥署官網首頁「家用新型冠狀病毒檢驗試劑供應資訊專區」。,2025-05-26,https://www.fda.gov.tw/tc/newsContent.aspx?cid=4&id=t623607
6,食藥署啟動「 114年蛋製品稽查專案-洗選、液蛋作業查核」,                        食品業者常見使用液蛋作為原料製作糕餅、蛋類料理等產品，藉以省略人工打蛋之時間及成本，然而液蛋製造過程容易遭受蛋殼、設備、人員操作條件等因素，導致微生物汙染；而洗選蛋之標示情形亦為民眾所關切，爰為維護是類產品衛生安全，食品藥物管理署(下稱食藥署)啟動「114年蛋品稽查專案-洗選蛋、液蛋作業查核計畫」，聯合地方政府衛生局針對洗選蛋工廠及液蛋製造業者進行稽查及抽驗。    本專案稽查重點，包括食品業者登錄、食品良好衛生規範(GHP)準則、衛生管理人員、專門職業或技術證照人員、產品責任險、食品安全管制系統（HACCP)、原料來源合法性及產品標示等；此外，將抽驗原料蛋檢驗動物用藥及農藥殘留，並抽驗液蛋成品檢驗食品中微生物衛生標準。    食藥署呼籲食品業者應落實自主管理，確保洗選蛋及液蛋製品衛生安全及品質，倘稽查結果不符規定，將依食品安全衛生管理法處辦，以保障消費者食用衛生安全。                ,2025-05-22,https://www.fda.gov.tw/tc/newsContent.aspx?cid=4&id=t623590
7,食藥署啟動「114年包裝及盛裝飲用水製造業稽查專案」,                        水是人體的重要組成分，也是新陳代謝的必要媒介，鑒於飲用水為民生必需品，消費量大且消費族群涵蓋甚廣，包裝及盛裝飲用水的需求量持續增加，爰食品藥物管理署(下稱食藥署)賡續啟動「114年包裝及盛裝飲用水製造業稽查專案」，以確保市售包裝及盛裝飲用水之衛生安全。    本專案查核重點包含食品業者登錄資訊、產品責任險、一級品管、追溯追蹤、產品標示、食品良好衛生規範(GHP)準則等項目，並進行抽驗。食藥署呼籲食品業者應落實自主管理，並符合食品安全衛生管理法等相關規定，違者將依法處辦，以保障消費者權益。                ,2025-05-21,https://www.fda.gov.tw/tc/newsContent.aspx?cid=4&id=t623587
8,食藥署啟動「114年素食餐飲業者稽查專案」,                        隨著國人養生與環保意識抬頭，以及受到全球減碳風潮及永續理念的推動，越來越多人選擇以素食作為友善環境的飲食方式。為持續維護素食飲食之食品安全，食品藥物管理署持續規劃執行「114年素食餐飲業者稽查專案」，並聯合地方政府衛生局查核素食餐飲業者，抽驗相關素食食材及成品，以守護民眾飲食衛生安全。    本專案稽查重點包含食品業者登錄、食品良好衛生規範(GHP)準則、產品責任險、保存來源文件及標示規範之符合性等，並進行相關素食產品抽驗，如查獲違反食品安全衛生管理法(下稱食安法)相關規定者，將依法處辦。    食藥署呼籲食品業者應落實自主管理，並遵守食安法相關規定，如經查獲違反規定者將依法處辦，以維護消費者飲食衛生安全。,2025-05-21,https://www.fda.gov.tw/tc/newsContent.aspx?cid=4&id=t623571
9,食藥署啟動「 114年輕食料理餐飲業及販售業稽查專案」,                        近年以「水煮」、「清蒸」及「舒肥」等烹調方式標榜健身或養生之餐食盛行，其中舒肥產品之加熱溫度通常設定在55至68°C之間，這個溫度區間短時間內加熱無法將食品中的微生物全部殺死，因此加熱的時間就變得尤為重要，倘製程中烹飪時間及溫度掌控不佳，可能會有食品安全之疑慮。另為避免消費者因食品品名標示「健康」字樣，致對該食品有較為健康之想像，食品藥物管理署近日將啟動「114年輕食料理餐飲業及販售業稽查專案」，會同地方政府衛生局查核轄內輕食料理餐飲業。    本次查核重點包含業者之食品良好衛生規範(GHP)準則、食品業者登錄情形、產品責任險、定型化契約(食品通訊交易、禮券)、產品標示、原料來源及逾期食品等食品安全衛生管理法(下稱食安法)相關規定之符合情形，並抽驗含生鮮即食蔬果等高風險即食食品。    食品業者應落實自主管理，遵守食安法相關規定。衛生機關將持續辦理相關衛生稽查，如查有不符規定者，將依法處辦，維護消費者食用衛生安全。,2025-05-20,https://www.fda.gov.tw/tc/newsContent.aspx?cid=4&id=t623579
