,title,content,date,link
0,植物油驗出重金屬鉻及反式脂肪之管理規定說明,"有關新竹市政府發布植物油驗出重金屬鉻及反式脂肪新聞乙案，食品藥物管理署針對相關管理規定說明如下：一、重金屬鉻：我國及Codex、歐盟、紐澳、美國等各先進國家，均無針對食用油訂有鉻之標準。由於重金屬多為來自環境，非基於加工需要而添加，屬無法避免之污染物質，經查2012年美國衛生及公眾服務部（United States Department of Health and Human Services, HHS）針對各類食品之背景值調查，總鉻平均含量介於0.02至0.52 ppm之間。鉻分為三價鉻及六價鉻，其中三價鉻為人體所需微量元素，六價鉻為致癌物，油脂中檢出鉻，應確認其種類，及其檢出值是否與天然背景值相當，以決定後續管理措施。我國係依據國際間科學之風險評估結果，針對不同食品中所含重金屬暴露風險較大者，優先研訂限量標準，未訂標準者，並非即為不得檢出，而係以個案風險評估方式，決定後續管理措施。二、反式脂肪：我國自97年起，強制實施市售包裝食品皆應在「營養標示」欄位內標示反式脂肪含量。依現行「市售包裝食品營養標示規範」，反式脂肪定義為食用油經部分氫化過程所形成之非共軛式反式脂肪，並規範反式脂肪得以零標示之條件為：「每100公克/毫升食品內所含反式脂肪量不超過0.3公克。」。惟，考量食品中反式脂肪，除主要來自食用油經部分氫化過程或於植物油精煉之脫色、脫臭製程外，也可能天然存在於部分食品如乳製品、牛肉、羔羊肉，且因檢驗方法並無法區別反式脂肪是來自天然存在或加工製程之形成，須配合稽查瞭解製程中是否有經過部分氫化過程等因素，故修正97年對應標示反式脂肪含量之定義。食品藥物管理署業於103年4月15日公告「包裝食品營養標示應遵行事項」，該遵行事項修正反式脂肪定義為食品中非共軛式反式脂肪（酸）之總和，並修訂反式脂肪得以零標示之條件為：「每100公克/毫升食品內所含總脂肪不超過1.0公克；或每100公克/毫升食品內所含反式脂肪量不超過0.3公克。」，該遵行事項於104年7月1日起正式實施，業者可提前依新規定標示。   食品安全衛生管理法已加重刑責罰金，食品藥物管理署提醒食品業者應遵行相關規定，以免觸法。",2015-01-20,https://www.fda.gov.tw/tc/newsContent.aspx?cid=4&id=12055
1,回顧103年藥品審查革新成果，迎接104年藥品管理新時代,食品藥物管理署(簡稱食藥署)係以藥品全生命週期，從上市前審查至上市後監控管理，確保藥品品質、療效及安全性。103年審查核准135件新藥，相較過去平均核准件數增加近五成(47%)、因應新興醫療技術發展，成立再生醫學諮議小組、編印英文、印尼文、越南文、泰文、柬埔寨文等5種「新住民安全用藥手冊」版本，增進該族群之正確安全用藥知識、積極推動國際醫藥品合作，成為首批參與歐盟共同審查機制的非歐盟國家；104年將以“接軌國際、邁向全球的藥政管理”為目標，持續強化再生醫學產品、原料藥品質及賦形劑標示等各項管理，推動多元化藥事服務，宣導自我藥療。 回顧103年重點藥政革新成果，包括： 1. 建置再生醫學產品管理環境：103年8月8日成立「食品藥物管理署再生醫學諮議小組」，提供細胞組織、基因及組織工程等產品審查及法規相關專業諮詢與建議，103年9月17日公告「人類細胞治療產品臨床試驗申請作業及審查基準」，確保人類細胞治療產品臨床試驗符合科學性、安全性及社會倫理性，並由食藥署提供業者送件前諮詢服務，以縮短新興生技藥品研發時程。 2. 健全透明、效率及現代化藥品審查體系: 103年5月22日公布新藥查驗登記審查流程及時間點管控，合理化上市前審查流程與效率。特殊案件如屬「無需檢送製售證明與採用證明(non-CPP)」、「藥品專案諮詢服導」、「醫療迫切需求」者，業者得申請列席藥品諮議小組會議，有效溝通讓審查制度更有效率。103年核准計135件新藥查驗登記案，相較過去3年核准件數平均值增加近五成(47%)。103年公告、預告及研擬27項藥品審查法規基準，例如：國際醫藥法規協合組織(ICH)規範採認清單、「新藥查驗登記優先審查機制」及「新藥查驗登記加速核准機制」。餘詳見食藥署網站: http://www.fda.gov.tw/。 3. 建構藥品安全及品質之天羅地網：監控國內外在市場上的藥品安全及品質警訊，103年度共完成59件安全再評估，22項採取風險管控措施(含執行風險管理計畫2項、要求下市1項)。接獲797件藥品不良品通報，皆請廠商啟動調查並進行預防矯正措施；48件藥品因品質瑕疵啟動回收作業。 4. 積極參與國際藥政合作：在APEC倡議之優良審查作業規範(Good Review Practice)，已獲WHO (World Health Organization，世界衛生組織)採納。同年9月我國加入「歐盟分散式審查程序之第一梯次學名藥查驗登記資訊共享先導計畫」，且104年1月底我國將參與「歐盟集中式審查程序之第一梯次學名藥查驗登記資訊共享先導計畫」，與澳洲、加拿大、瑞士同為首批參與歐盟共同審查機制的4個非歐盟國家。 5. 臨床試驗GCP(Good Clinical Practice)查核制度轉型：為確保藥品臨床試驗品質與試驗結果的可信度，103年完成31件常規查核及7場無預警查核。103年10月1日預告「自104年7月1日起，藥品臨床試驗GCP查核，將併新藥查驗登記申請案施行，並延長例行查核時間（草案）」，未來將以新藥查驗登記所附臨床試驗報告作為GCP例行性查核選案對象。 6. 提升特殊族群正確用藥知能：就新住民、外籍勞工、身心障礙者及原住民等族群辦理用藥安全宣導講座。編印103年「新住民安全用藥手冊」英文、印尼文、越南文、泰文、柬埔寨文等，共計5種語言版本，協助台灣多元化族群之正確安全用藥知識。 展望104年推行藥政新措施，包括:         1.   完善生醫學產品管理環境：逐步預告「細胞治療查驗登記基準」、「捐贈者合適性基準」、「組織物審查重點」，研擬增修符合新時代之藥事法或再生醫學產品之管理專法。 2.   建置審查現代化的電子送件機制：針對新藥藥品查驗登記，於104年1月1日起試運行電子送件，將於105年1月1日起正式實施。 3.   精進藥品上市後管理：104年起正式啟用藥品上市後品質管理資訊系統，強化藥品不良品通報、國外警訊及藥品回收案件之管理。將逐步修訂藥物安全監視期間藥品定期安全性報告(PSUR)格式、藥品優良安全監視規範，以完善藥物安全監視法規，規劃藥品安全監視系統性課程及認證機制。 4.   持續推動多元化藥事服務：精進藥師為照顧民眾藥物治療之專業服務角色，建構藥事照護標準作業流程，執行居家、社區、機構式藥事照護，完善高齡化社會藥事照護環境。 5.   逐步落實藥品原料藥管理及藥品賦形劑標示管理政策： (1) 原料藥管理：除應符合十大醫藥先進國藥典規格外，更於104年7月1日起要求新藥查驗登記案應檢附原料藥DMF，105年1月1日起要求學名藥查驗登記案應檢附原料藥DMF。 (2) 賦形劑標示管理：103年5月27日起要求新核准藥品之仿單，應標示賦形劑成分名或品名。預計104年12月31日前各項藥品應全面標示賦形劑。 6.   推動負責任的自我藥療 (Responsible self-medication)：讓民眾可在藥事專業人員指導下，使用安全有效的非處方藥品，作為輕微疾病與症狀之緩解。 食藥署肩負確保用藥安全及提升品質的使命，除於上市前嚴謹之查驗登記審查，並縝密的監控產品上市後品質、安全性，同時參考國際法規修訂相關管理措施，精進我國藥政管理之各項制度，以期達到“接軌國際、邁向全球的藥政管理”。  ,2015-01-07,https://www.fda.gov.tw/tc/newsContent.aspx?cid=4&id=12009
2,食藥署呼籲民眾，勿隨意接受陌生人提供之咖啡包，以免誤服毒品！,"天氣漸冷，來杯咖啡取暖又提神，小心不要隨意接受陌生人給的咖啡包，以免誤服毒咖啡。食品藥物管理署(下稱食藥署)統計近三個月內由警察局送驗之飲品包(如咖啡、奶茶、麥片……等等)檢體45件，發現有39件檢體檢出除咖啡因以外之毒品或新興濫用物質成分，檢出率高達86.7%。分析檢出之成分包括已列為二級毒品之MDPV(浴鹽)、列為三級毒品之愷他命(Ketamine)等7種、四級毒品硝西泮(Nitrazepam)，另也檢出新興濫用物質4-甲氧基甲基卡西酮(Methedrone)等5種(如表一)，顯示毒販為了規避法規，走私或合成類似濫用物質，變裝於飲品包中，仍難逃法眼。食藥署進一步分析發現，所摻入之成分，不限於一種，甚至內含6種濫用物質(如圖一)，多重成分的交互作用，將增加施用者的危險，特別提醒國人注意。 分析檢出之濫用物質，以第三級毒品之檢出百分比最高(佔79.2%)，而檢出次數排行前2名成分分別為3,4-亞甲基雙氧甲基卡西酮(Methylone)及4-甲基甲基卡西酮(Mephedrone，喵喵)，分別為27.8%及22.2%，皆屬中樞神經興奮劑，無任何醫療用途，會產生類似甲基安非他命與搖頭丸的效果，施用時會產生心跳過速、高血壓、高熱、瞳孔散大等副作用，嚴重甚至死亡。 食藥署誠摯呼籲民眾，千萬不要因為一時的好奇或同儕的影響而輕易嚐毒，誤入毒海之深淵。若不慎誤用，可依「毒品危害防制條例」第21條規定，自動向衛生福利部指定之醫療機構請求治療。毒品推陳出新，年輕族群或經常出入娛樂場所之民眾，更要提高警覺，注意自身的安全，拒絕來路不明的飲品包或試喝包，避免掉入新興毒品之陷阱。 ",2015-01-06,https://www.fda.gov.tw/tc/newsContent.aspx?cid=4&id=12005
3,製藥品質全面升級-邁向PIC/S GMP新紀元,104年1月1日起，台灣製藥品質將邁入一個嶄新的紀元。我國自96年12月公告實施國際PIC/S GMP時程迄今，經過政府與業者7年來的努力，西藥製劑廠於103年12月31日前全面完成實施PIC/S GMP，透過製藥水準的提升，使國人得以享受與先進國家相同的用藥品質。 目前通過PIC/S GMP評鑑之藥廠包括西藥製劑廠98家及醫用氣體廠35家，其所生產項目已涵蓋各類劑型產品，應能滿足市場需求。此外，食藥署持續嚴格監督藥品生產作業，除每2~3年執行例行性查廠外，對於品質不良、申訴與檢舉案件的藥廠，即會啟動無預警的機動性查核，確認所有市面上的藥品符合既定的品質，保障消費者用藥安全。 PIC/S GMP為目前全球最嚴謹的GMP標準，且經大多數先進國家所採用，該標準從製藥源頭就啟動對原物料供應、廠房設備的嚴格控管，同時更謹慎地要求製程，避免交叉污染、防止混淆等生產與品質管制作業，以確保穩定的藥品製造品質，使民眾用藥安心與放心。 因應103年12月31日前全面完成實施國際GMP標準，食藥署積極協助業者提升製藥水準，自94年起逐年編列預算持續對業者進行相關輔導與宣教，至今已進行數百場之說明會、論壇、研習營、教育訓練及赴廠輔導，並透過跨部會會議，整合產、官、學三方面之資源提供業者諮詢管道，針對進度落後之製藥工廠赴廠訪查，提出具體可行之方案及建議。此外，透過網頁設置PIC/S GMP專區、印製宣導手冊、發布食品藥物安全週報、公布Q &A等各項最新訊息，協助業者解決各項疑惑，期使PIC/S GMP能如期完成實施。 自102年1月1日起，我國以官方身份，領先日本與韓國，正式成為PIC/S組織的第43個會員，足見我國藥廠GMP法規與管理制度及稽查水準已受國際認可，而在業者支持配合實施PIC/S GMP政策下，我國醫藥生技產業布局全球、藥品行銷國際市場的表現亮眼，近4年來西藥製劑出口值已成長一倍以上，國產藥品製造的品質保證能力和風險管控水準已明顯提高，成果有目共睹。 食藥署肩負確保用藥安全及提升品質的使命，全力推動國內藥廠落實PIC/S GMP，要求源頭管制、穩定製造及優良運銷，確保在有效期限內的藥品維持應有的品質。期望業界能持續秉持共同理念，促進製藥產業不斷發展，提升國產藥品之國際競爭力，建立MIT藥品的優質形象，共同維護得來不易的成果。 ,2015-01-04,https://www.fda.gov.tw/tc/newsContent.aspx?cid=4&id=11973
4,辨明標示資訊 聰明選購年節食品,                      元旦4天連假，親朋好友聚餐、外食的機會增加，因此飲食的衛生安全也相對變得更重要，衛生福利部食品藥物管理署(簡稱食藥署)提醒民眾購買食品時，一定要辨明食品資訊，才能聰明消費，保障自己的飲食安全。  一、檢視外觀辨明來源：  1.產品來源要清楚，優先選購完整包裝食品，散裝食品要挑選乾爽、清潔才合宜。  2.醃漬、乾貨、水產品，應選擇接近食物原色食品，不宜挑選色澤鮮豔或太潔白。 二、聰明閱讀產品標示：  1.標示完整的包裝食品，要注意包裝上的品名、內容物及食品添加物名稱、有效日期、營養標示及廠商資訊等標示資訊，可提供您最前線的飲食保障。  2.具公司或商業登記之食品販售業者所販售之散裝食品，要注意品名、原產地及牛肉原料原產地資訊。 三、食品特性正確保存：  1.食品經拆封後，應儘速食用完畢。依照產品包裝建議的保存方式，或依食品本身特性選擇適當保存溫度及方式。  2.豆製品及生麵製品等應購買有經冷藏或冷凍保存販售的產品。真空包裝黃豆製品非供即食食品者，食用前應充分加熱。  3.常溫保存應置陰涼處，避免陽光直射；或冷藏食品中心溫度應在凍結點以上至7℃以下；冷凍食品中心溫度應為-18℃以下。    做個自己飲食安全的挑食族，多看一眼，保障一定會多一點，食藥署祝您有個健康愉快的元旦佳節。                ,2015-01-02,https://www.fda.gov.tw/tc/newsContent.aspx?cid=4&id=11967
5,擴大藥事服務場域，提升民眾用藥品質,"    居住在臺北的葉女士有高血壓、心臟病及糖尿病病史，會自行減少服用醫師開立的藥，飲食上會白飯及水果攝取過量，飯後血糖皆超過300mg/dl，造成視力改變及四肢麻木之併發症出現，透過食品藥物管理署(簡稱:食藥署)推動之藥事服務計畫，轉介給陳藥師，葉女士在陳藥師協助下，改變飲食習慣外，遵照醫囑服藥，甚至會不定時拜訪個案，關心其飲食及服藥情況，現在飯後血糖皆控制在180 mg/dl左右，體重從42公斤上升至47公斤，生活品質變好，周遭的親友也說個案的心情及氣色也越變越好。     食藥署整合全國專業及藥事服務資源，104年擴大藥事照護服務的量能，增加居家及社區藥事照護服務人次及擴大辦理機構式藥事照護服務，結合衛生、社政資源及地方藥師公會專業。居家及社區藥事照護上，將較往年增加上百家藥局，增加執行藥事照護的藥局家數，預計全台將徵求350家以上藥局加入，服務人次以三倍數量成長，希望達到17,500人次。機構式藥事照護則先以150人以下中小型長照機構為單位，讓藥師定期至該類機構執行服務，評估藥物治療問題並與醫師溝通合作解決用藥問題，可減少醫療花費，增進藥物治療效果，本年度預計全台試辦7間長照機構，服務達到1,050人次。    食藥署將規劃推動醫院與社區藥局相互轉介、讓出院病人能回歸社區後由社區藥局接手照顧，達到無縫接軌制，軟體上將建構醫院與社區藥局雙向網路溝通軟體介面，至少能達到1750人次之轉介服務。     不論是工作或是住家附近，都有社區藥局，食藥署呼籲民眾可至社區藥局，由藥師提供最專業、最安心的用藥建議，讓社區藥局藥師成為您家庭藥師，為全家用藥安全把關。同時，為了保障民眾用藥安全，食藥署及相關政府部門將持續與各方團體共同來關心國人用藥安全議題，並已於該署官網設置民眾用藥安全專區(首頁 > 業務專區 > 藥品 > 民眾用藥安全)，提供民眾新知，讓民眾用藥安心。 ",2015-01-01,https://www.fda.gov.tw/tc/newsContent.aspx?cid=4&id=11970
6,"恆富企業有限公司回收所有批號之「""菲尼斯""肝燐脂注射液1000單位/毫升 HEPARIN SODIUM-FRESENIUS INJECTION 1000IU/ML (衛署藥輸字第022827號)」藥品","    食品藥物管理署曾於103年12月12日啟動回收「""菲尼斯""肝燐脂注射液5000單位/毫升 HEPARIN SODIUM-FRESENIUS INJECTION 5000IU/ML (衛署藥輸字第022826號)」(製造廠Fresenius Kabi Manufacturing SA (Pty) Ltd)藥品，回收原因為該產品含有雜質異物。經深入調查，發現同一製造廠製造之「""菲尼斯""肝燐脂注射液1000單位/毫升 HEPARIN SODIUM-FRESENIUS INJECTION 1000IU/ML (衛署藥輸字第022827號)」，亦可能含有雜質異物，國際間雖尚未接獲相關不良反應通報，惟為確保民眾用藥安全，食品藥物管理署已於12月29日啟動回收作業，並透過緊急聯絡網通知相關醫療機構，請醫療機構立即配合所有批號產品之下架及回收。    經查，衛生福利部核准「""菲尼斯""肝燐脂注射液1000單位/毫升 HEPARIN SODIUM-FRESENIUS INJECTION 1000IU/ML  (衛署藥輸字第022827號)」為處方藥，製造廠為Fresenius Kabi Manufacturing SA (Pty) Ltd，許可證持有廠商為恆富企業有限公司，適應症為血栓性栓塞症及其預防、抗凝血，限由醫師診斷並開立處方後使用。    為確保藥物安全與醫療效能，衛生福利部已建置藥物安全監測，即時監視國內、外藥物安全訊息，除設有藥物不良反應通報系統及藥物不良品通報中心之外，並對於藥物之安全性與療效亦隨時進行再評估，如醫療人員或病患疑似因使用（服用）藥品導致不良反應之發生，請立即通報衛生福利部所建置之全國藥物不良反應通報中心，藥物不良反應通報專線 02-2396-0100 ，網站：http://adr.fda.gov.tw 。如發現藥物不良品時，請立即通報衛生福利部所建置之全國藥物不良品通報中心，藥物不良品通報專線 02-2396-0100，網站：http://recall.fda.gov.tw。                ",2014-12-31,https://www.fda.gov.tw/tc/newsContent.aspx?cid=4&id=11992
7,新藥臨床試驗多中心整合計畫成果發表會暨頒獎典禮,                          食品藥物管理署(簡稱：食藥署)近來平均每年受理近300件不同階段之新藥品臨床試驗計畫新案申請，其中約七成為多國、多中心規模，為民眾帶來上百個醫療新希望。品質良好的臨床試驗可促進新藥品發展，臨床試驗品質又仰賴執行試驗醫院的執行力與協調合作能力。食藥署為提升我國藥品臨床試驗環境不遺餘力，輔導全台各地試驗中心品質提升及同域、跨域合作，成效顯著。為表揚及感謝績優醫療院所對我國臨床試驗品質之貢獻，並於本(12)月30日假衛生福利部一樓大禮堂辦理成果發表會暨頒獎典禮。    食藥署自民國89年起著手辦理「新藥臨床試驗病房及相關實驗室計畫」，輔導三軍總醫院、臺北榮民總醫院、臺大醫院、成大醫院等多家教學醫院之臨床試驗中心提升軟、硬體實力，建置高水準的臨床試驗研究體系，其後轉型為引領計畫，陸續輔導馬偕紀念醫院、臺中榮民總醫院、高雄市立凱旋醫院、衛生福利部玉里醫院等共18家醫療院所，於我國北、中、南、東均衡建構足以執行多國、多中心臨床試驗之環境。民國101年，食藥署正式推動「醫療機構執行新藥臨床試驗之多中心整合與品質及國際競爭力提升計畫」(簡稱：多中心整合計畫)，以原有之臨床試驗環境為基礎，配合c-IRB審查制度，加速案件審查天數，由數十日加速至10日以內；同時積極推展院際合作聯盟，迄今參與計畫之醫療院所已與計畫外醫院成立區域性(例如：中區臨床試驗聯盟)、專科性(例如：精神科專科聯盟)合作組織，將計畫效益由點、線拓展到全面，達到減少重複作業，確保效率提升及完善保護受試者。     多中心整合計畫推行已逾十載，對於臨床試驗環境、品質之提升至今，確見顯著成效，我國執行之新藥品臨床試驗近年數度通過包括美國、歐盟、日本等醫藥先進國家衛生主管機關之查核，故今(103)年食藥署對參與多中心整合計畫之12家醫療院所臨床試驗中心進行擴大實地訪查，不同於以往的抽樣績效控管模式，改以全面訪查接受輔導之單位，並評比出特優及優良之醫院，本次成果發表會暨頒獎典禮，除感謝績優醫療院所於我國臨床試驗品質提升之貢獻外，現場亦有參與計畫之醫療院所張貼海報，與出席者分享成果。  ,2014-12-30,https://www.fda.gov.tw/tc/newsContent.aspx?cid=4&id=11965
8,"食藥署呼籲17位曾於今年12月12日後使用「“麥迪森”信美爽眼藥水SINMESONE EYE DROPS ""MEDICINE"" (內衛藥製字第012342號)」批號0EHO121、0EHO122藥品之民眾，應立即停用並回診原就診診所。"," 食品藥物管理署(簡稱：食藥署)於12月24日傍晚接獲通報，有民眾使用「“麥迪森”信美爽眼藥水SINMESONE EYE DROPS ""MEDICINE"" (內衛藥製字第012342號)」藥品後，發生視力模糊之非預期不良反應，經緊急連絡持有問題批號藥品之98位病患，已完成通知81位病患停止使用，尚有17位無法取得聯繫。       食藥署呼籲：曾於今年12月12日後，因角膜炎、流行性結膜炎、淚囊炎、紫外線引起之眼炎、急慢性結膜炎、化膿性結膜炎等問題，至台北市北投區、文山區、新北市板橋區、新店區、桃園縣八德市或彰化縣溪湖鎮的眼科或藥局就醫領藥的患者，務必立即檢視所持藥品，如有麥迪森企業股份有限公司批號0EHO121、0EHO122之「“麥迪森”信美爽眼藥水SINMESONE EYE DROPS ""MEDICINE"" (內衛藥製字第012342號)」藥品(產品外觀詳如附件)，應立即停用，並回診原處方醫師以確認安全無虞，如有疑慮請致電食藥署藥品安全評估科，電話(02)2787-7411~3。       食藥署表示：衛生福利部核准「“麥迪森”信美爽眼藥水SINMESONE EYE DROPS ""MEDICINE"" (內衛藥製字第012342號)」為處方藥，製造廠為麥迪森企業股份有限公司桃園廠，許可證持有廠商為麥迪森企業股份有限公司，適應症為角膜炎、流行性結膜炎、淚囊炎、紫外線引起之眼炎、急慢性結膜炎、化膿性結膜炎，限由醫師診斷並開立處方後使用。此次問題產品係混入229ppm(相當於0.0229%)之Atropine成分藥品，該成分屬於散瞳劑，一般使用於眼科檢查及假性近視。衛生福利部核准之含Atropine藥品製劑，Atropine含量為0.125~2%，可能發生之不良反應包括發生畏光、視力模糊等，使用Atropine應避免從事駕駛汽機車等具風險之活動。       食藥署於接獲通報後立即追查，並於103年12月25日啟動回收問題藥品，透過地方衛生局及緊急聯絡網通知相關醫療機構與藥局。此次問題批號共2批，其中0EHO121出貨15,750瓶，除已使用之85瓶外，已全數回收；批號0EHO122出貨5,100瓶，除已使用之15瓶外，已全數回收。       為確保藥物安全與醫療效能，衛生福利部已建置藥物安全監測，即時監視國內、外藥物安全訊息，除設有藥物不良反應通報系統及藥物不良品通報中心之外，並對於藥物之安全性與療效亦隨時進行再評估，如醫療人員或病患疑似因使用（服用）藥品導致不良反應之發生或發現疑似不良品時，請立即通報衛生福利部所建置之全國藥物不良反應通報中心，通報專線 02-2396-0100 ，藥品不良反應通報網站：http://adr.fda.gov.tw，藥物不良品通報網站： http://recall.fda.gov.tw。",2014-12-27,https://www.fda.gov.tw/tc/newsContent.aspx?cid=4&id=11953
9,原味年菜 健康自煮,        農曆春節在即，是闔家團圓的喜慶佳節，家家戶戶歡欣地準備豐盛的年菜佳餚，迎接新年到來！為提升民眾對年菜食材、料理的正確選擇，衛生福利部食品藥物管理署舉辦「2014健康年菜記者會」，特別邀請榮獲「103年度FDA優良廚師」彭志強主廚、曾志昌主廚及蕭冠之主廚，為4-6人小家庭訂製並現場示範健康年菜食譜，讓民眾能在家自行烹調健康年菜。        除少油、少鹽外，運用蒸、煮取代傳統炒、炸方式進行烹調，菜色包括西式餐食之「西洋盛宴」、傳統中式之「澎湃饗宴」與養生營養之「綠色巧宴」等18道佳餚，端上餐桌絕對多了濃濃健康團圓的味道。        歡迎民眾至食品藥物管理署中華民國廚師證書資訊管理系統下載103年健康年菜食譜，一同在家開心做年菜。,2014-12-19,https://www.fda.gov.tw/tc/newsContent.aspx?cid=4&id=11918
