,title,content,date,link
0,食藥署舉辦「用科技打造更好的藥事服務」國際藥事研討會,"                        衛生福利部食品藥物管理署(下稱食藥署)於112年10月25日(星期三)假臺北國際會議中心舉辦""Building better pharmaceutical care with technology"" 用科技打造更好的藥事服務國際藥事研討會，邀請多位國內外重量級專家學者擔任演講者，包括世界藥學會(FIP) Mr. Paul Sinclair主席、日本國立醫藥健康營養研究所(NIBOHN) 中村祐輔理事長 (Dr. Yusuke Nakamura)、日本醫藥品醫療機器綜合機構 (PMDA) 新井洋由理事 (Dr. Hiroyuki ARAI)、韓國仁濟大學藥學院申載國院長(Jae-Gook Shin)、食藥署吳秀梅署長、台北醫學大學醫學資訊研究所李友專教授等，讓國內外參與者瞭解國際間科技於醫藥發展及藥事服務之創新趨勢。    近年來，隨著人工智慧、雲端運算、行動裝置等智慧科技發展，在醫療領域也有驚人的進展，無論在藥物研發、精準醫療、健康照護、藥事服務等方面，都有創新的應用，不僅提高藥品及醫療器材的安全性和有效性，也加速醫療服務的流程，使病人能夠更有效的獲得所需的治療及照護。本場國際藥事研討會將分享各國運用科技於醫藥領域之政策推動及臨床經驗，供世界各地的專業人士進行交流，期能為醫藥發展及藥事服務帶來嶄新的思維及發展。                ",2023-10-24,https://www.fda.gov.tw/tc/newsContent.aspx?cid=4&id=t622203
1,嚴正聲明：網傳失蹤萊豬政府准許標示成台灣製是不實謠言，已依散佈錯假訊息向警方報案。,                    針對近日網傳「一直失蹤的萊豬終於找到了，政府准許他們標誌成台灣製」的不實謠言，食藥署已依散佈錯假訊息向警方報案。食藥署再次嚴正說明，輸入豬肉均經跨部會機關邊境查驗，符合規定始得輸入。自110年迄今，無論邊境或國內，豬肉產品皆未檢出萊克多巴胺，國內沒有萊豬加工食品。    自110年1月1日起產製的所有含有豬或豬可食部位原料的產品，不論是包裝食品、散裝食品或直接供應飲食場所供應的食品，都應依規定，標示所使用的豬肉及豬可食部位原料之原產地(國)。    進口豬肉進入國內食品加工廠，業者應確認原料符合規定後，再驗收入庫，製程符合衛生安全要求，成品如實標示豬肉原料原產地(國)。   食藥署強調，秉持公開透明之原則，所有食安資訊，食藥署都會即時對外公布，請民眾安心享用台灣加工的豬肉製品，網傳不實謠言，勿聽信、勿轉傳、勿為造謠者幫手，共同維護台灣食安優質環境。,2023-10-19,https://www.fda.gov.tw/tc/newsContent.aspx?cid=4&id=t622197
2,食藥署重申四價流感疫苗審核符合查驗登記規定，且逐批疫苗須經檢驗封緘合格放行後，始供國人接種,                        有關外界質疑四價流感疫苗藥品查驗登記相關事宜，食品藥物管理署(以下簡稱食藥署)再次說明如下：    有關生物藥品(如：流感疫苗)查驗登記，應依據藥品查驗登記審查準則規定檢附「化學製造管制」、「非臨床試驗」及「臨床試驗」等資料供審核。其中，臨床試驗並未限定試驗執行之地點，而係視廠商所附整體臨床試驗數據結果進行審查其療效及安全性，並依ICH E5所訂之銜接性試驗基準審視該藥品是否具有族群差異，若經評估無族群差異者，得引用國外臨床試驗數據資料，未要求必須於我國執行臨床試驗或執行全年齡層之臨床試驗，以減少重複進行臨床試驗。目前已核准之六項四價流感疫苗(如附表)，皆依據相同標準進行審查。    「高端四價流感疫苗」查驗登記案中，臨床試驗資料已檢附韓國執行的第一/二期及第三期臨床試驗(受試者年齡：3至18歲、19歲以上及65歲以上)資料，亦於我國執行第三期臨床試驗(受試者年齡：20至50歲)，綜合韓國及台灣臨床試驗結果，可支持其療效及安全性，銜接性試驗之評估亦顯示無族群差異的疑慮。此外，其他已核准之流感疫苗，因評估無族群差異，亦非均於我國執行臨床試驗或全年齡層臨床試驗。    針對資料保密規定一事，依據藥事法第40條之1及營業秘密法第2條規定，藥品查驗登記時所檢附原始數據屬營業秘密之資料，食藥署應保密之；另藥品查驗登記所檢附之臨床試驗相關資訊，會刊載於核准仿單第8節「副作用/不良反應」及第12節「臨床試驗資料」段落，可於本署官網「西藥、醫療器材、化粧品許可證查詢系統」查詢(網址http://info.fda.gov.tw/MLMS/H0001.aspx)。    食藥署作為我國藥品審查主管機關，依規定針對四價流感疫苗製程管控、藥毒理試驗及臨床試驗結果進行嚴謹審查，確認其品質、安全及有效性後始核發藥品許可證。且逐批疫苗放行前，須經食藥署檢驗封緘，檢驗項目包括：進行外觀、鑑別、效價、無菌、異常毒性、不活化、甲醛、pH值、卵蛋白含量(細胞製程流感疫苗則檢驗DNA含量)、蛋白質含量及細菌內毒素等10-11項檢驗，經檢驗封緘合格放行後，始供國人接種。                ,2023-10-18,https://www.fda.gov.tw/tc/newsContent.aspx?cid=4&id=t622195
3,預告修正「健康食品之促進鐵可利用率保健功效評估方法」,                        為使健康食品保健功效評估試驗之實驗方法與實驗執行相關規範更臻明確與周全，並考量動物保護及福祉，衛生福利部(下稱衛福部)於10月16日預告修正「健康食品之促進鐵可利用率保健功效評估方法」草案，名稱並修正為「健康食品之輔助調節血鐵保健功效評估方法」。草案之預告評論期60日，蒐集各界意見。    本次預告草案修正重點：一、修正評估方法名稱；二、刪除動物實驗；三、修訂受試對象條件、受試人數及安全性監測項目；四、修訂數據統計分析方法與結果判定之規範及保健功效宣稱。「健康食品」所准許標示或廣告之保健功效及其宣稱敘述，取決於個別產品依據衛福部公告之保健功效評估方法，提出之科學實驗驗證結果。詳細訊息可至衛福部食品藥物管理署網站(http://www.fda.gov.tw/)之「本署公告」網頁查詢。    衛福部強調，健康食品本質仍屬食品，並沒有等同藥品的效果，亦無治療疾病的作用，若身體有任何不良狀況仍應循正常醫療管道診治，切勿自行食用誇大功效或宣稱療效的產品，以免花錢又傷身。    為推動我國食品與相關產品查驗登記管理電子化，衛福部食品藥物管理署已建置線上申辦平台(網址http://oap.fda.gov.tw/)，提供便利且快速之服務，歡迎食品業者多加利用線上申辦方式辦理食品查驗登記相關業務。                ,2023-10-18,https://www.fda.gov.tw/tc/newsContent.aspx?cid=4&id=t622182
4,食藥署舉辦「2023 APEC分析技術交流平台-新穎生技食品檢驗技術研討會」,"                        有鑑於新穎生技食品發展迅速，為增進亞太地區對於新穎生技食品之檢驗技術與經驗之交流，衛生福利部食品藥物管理署(下稱食藥署)於112年10月17日，於台北集思交通部國際會議中心舉辦「2023 APEC分析技術交流平台–新穎生技食品檢驗技術研討會(2023 APEC Communication Platform for Analytical Techniques - Food from Biotechnology-Derived Crops Workshop)」。本次研討會業於今年5月通過亞太經濟合作會議(Asia-Pacific Economic Cooperation, APEC)的認可並正式取得冠名支持。    本次研討會針對新穎生技食品議題邀請來自日本、韓國、越南、馬來西亞、中央研究院及食藥署之專家學者，分享各國在基因改造食品等之檢驗技術、監測與相關經驗，研討會約有100名來自國內及亞太地區產、官、學界專家學者共襄盛舉，學習與交流國際間新興檢驗技術，讓國內外參與者獲益匪淺。    食藥署為提供全民一個安心的飲食環境，除藉由制定法規、源頭管理及稽查外，亦藉由精進檢驗技術，提供科學證據以利行政執法，面對國際間日新月異之檢驗技術與新知。食藥署舉辦此次國際研討會，即藉由與國際專家經驗分享及交流，提升國內檢驗技術水準並與國際接軌，更有助於促進我國與亞太地區國家之合作機會。",2023-10-17,https://www.fda.gov.tw/tc/newsContent.aspx?cid=4&id=t622183
5,食藥署說明業者申報流向資訊，中央地方皆有權限查詢,"                        輸入豬肉產品均經跨部會機關邊境查驗與檢疫，符合規定始得輸入，進口資訊於每工作日公布於豬肉儀表板，迄今皆未檢出萊克多巴胺。有關立委提問112年1月1日至112年10月5日美國進口豬其他可食部位202批產品流向，經查「非追不可」系統，進口共計3,638公噸，已交貨1,060公噸(29%)、庫存2,578公噸(71%)；前述產品屬豬內臟計3批(包含1批豬子宮及2批豬心)，共48.51公噸，已交貨0.2公噸(0.4%)、庫存48.31公噸(99.6%)。另，110年度迄今，未有進口豬肝或豬腎之輸入紀錄。    為利中央與地方合作，共同維護食安，食品藥物管理署及地方政府衛生單位皆具有系統查詢權限，可清楚了解轄區食品業者申報資料。政府持續輔導食品業者應符合追溯追蹤相關規定並落實稽查，食品業者「非追不可」申報情形即為食品安全衛生稽查事項之一。",2023-10-10,https://www.fda.gov.tw/tc/newsContent.aspx?cid=4&id=t622176
6,食藥署官方網站「藥品臨床試驗專區」全新改版上線,                        食藥署官方網站之「藥品臨床試驗專區」全新改版上線！除原有的臨床試驗相關法規等資訊，另增設「民眾專區」以及豐富的「教育訓練資訊」，以供大眾查詢和參考。    「民眾專區」增設目的旨在提供民眾快速便捷的管道，獲取臨床試驗正確知識及資訊。這個專區放置最新的宣導短片、受試者教育宣導單張、懶人包以及常見問答集等，幫助民眾更深入了解臨床試驗，以及如何保護受試者權益。此外，民眾若想了解臨床試驗相關招募資訊，亦可至「藥品臨床試驗專區」中「臨床試驗相關網站」，其中「台灣藥物臨床試驗資訊網」及「臨床試驗資訊平台」提供多樣招募資訊，如：目前執行中及已結束之臨床試驗、臨床試驗專有名詞之定義、問答集及受試者招募專區。    「藥品臨床試驗專區」亦提供了當年度的「教育訓練資訊」，以及近兩年舉辦之教育訓練課程內容連結，內含豐富多元的教材資源，使醫藥領域專業人士與有興趣之民眾不受地域、時間限制，踴躍學習臨床試驗相關知識，並更深入地了解藥品臨床試驗的實務與應用。    食藥署長年致力於推動藥品臨床試驗教育訓練課程及受試者權益推廣活動，期待改版後之「藥品臨床試驗專區」，能帶給民眾更周全的訊息，歡迎大家多加運用。如欲了解更多資訊，請參閱食藥署官方網站之「藥品臨床試驗專區」(http://www.fda.gov.tw/TC/siteContent.aspx?sid=12718)，或聯繫食藥署的諮詢服務專線[(02)2787-8200]。                ,2023-10-10,https://www.fda.gov.tw/tc/newsContent.aspx?cid=4&id=t622169
7,食藥署持續積極執行邊境查驗、後市場稽查及抽驗,"                       食藥署對本次桃園市兩家違規肉品業者，抽驗其原料及成品檢驗，檢驗結果均未檢出萊克多巴胺。自110年1月至112年9月，邊境輸入檢驗11,847批及各販售通路、製造端抽驗豬肉相關產品12,974件(包括國產9,540件、進口3,434件)，亦皆未檢出萊克多巴胺。　　輸入豬肉均經跨部會機關並依立法院附帶決議執行邊境查驗，符合規定後始得輸入，相關豬肉產品進口資訊均於每個工作天公布於「豬肉儀表板」。110年1月至112年9月，國產及進口豬肉及其可食部位合計2,636,493公噸，其中美國豬肉為20,728公噸，佔0.8%。另有關立法委員提及索要資料，食藥署於112年10月3日正式收到函文，刻正辦理中，將儘速提供。 　　又不論進口或國產含有豬肉或豬可食部位原料者，所有包裝食品、散裝食品或直接供應飲食場所供應的食品，都應依規定標示豬肉及豬可食部位原料產地，食藥署持續與地方政府衛生局合作加強查核，110年迄今共完成查核豬肉及豬可食部位原料標示24萬4,298件次，共查獲標示不符規定77件（合格率99.97%），已裁罰204萬6,000元，查獲違規即嚴懲不貸。 　　本次食藥署與桃園市政府查獲兩家肉品業者標示不實案，係由食藥署依系統情資分析高風險廠商名單，由食藥署稽查人員主動與地方政府前往稽查，本次查獲桃園市兩家違規肉品業者，即為食藥署提供名單，與桃園市政府衛生局共同聯合稽查而查獲。 　　食藥署重申，符合「應建立食品追溯追蹤系統之食品業者」公告業別及規模之食品業者，應電子申報追溯追蹤資料；經指定電子申報的食品業者應如實申報收貨、製造及交貨相關資料，如申報不實，依食安法第47條處新臺幣3-300萬元罰鍰；標示、宣傳或廣告如有不實、誇張或易生誤解等情事，依食安法第45條處新臺幣4-400萬元。另透過食品雲系統，可分析「邊境查驗自動化管理資訊系統(非報不可）」與「食品追溯追蹤系統(非追不可)」資料產出優先稽查名單，此為食藥署與地方政府衛生局共同努力成果，請業者切勿心存僥倖。 　　食藥署持續輔導業者落實符合標示規定，如欲了解更詳細的食品安全衛生相關規定，請至本署網站(http://www.fda.gov.tw)「本署公告」專區查詢；或撥打本署諮詢服務專線(02)2787-8200，亦可向所在地衛生局洽詢。主管機關將持續嚴查，食藥署呼籲食品業者應保存食品來源及流向憑證以備主管機關查核，並不得為不實之標示或廣告，以免受罰。                ",2023-10-05,https://www.fda.gov.tw/tc/newsContent.aspx?cid=4&id=t622166
8,「第十一屆臺日醫藥交流會議」研討會於10月5日登場,                        衛生福利部食品藥物管理署與日方厚生勞働省(MHLW)及獨立行政法人醫藥品醫療機器綜合機構(PMDA)於112年10月5日（星期四）於臺北國家生技研究園區舉辦「第十一屆臺日醫藥交流會議」研討會。藉由本次會議，期促進雙方法規資訊之交流及瞭解，強化雙邊官方及業者之合作，協助業者布局國際市場，保障民眾健康福祉。    「臺日醫藥交流會議」自102年11月由「臺灣日本關係協會」及「日本臺灣交流協會」簽署「臺日藥物法規合作框架協議」建立交流平台。本次會議臺日雙方代表除了分享藥品及醫療器材法規新進展、進一步就應用真實世界數據以促進臨床試驗發展、臺日新藥共同審查、再生醫療法規、醫療器材網路安全、及醫療器材新法等主題發表演說。本次會議以實體合併線上的方式舉辦，在官方及業界人士共襄盛舉下，實體及線上報名約有800人參與。期待經由本次會議，促使雙方業者對於法規進一步之瞭解，為臺日醫藥法規合作開創新藍圖。                ,2023-10-05,https://www.fda.gov.tw/tc/newsContent.aspx?cid=4&id=t622160
9,正確用藥!別自己當醫師,                        「你的症狀跟我上次生病很像，可以吃我上次剩下的藥」、「這個網站賣的減肥藥感覺蠻有效的，買一些來試試看」，這些日常情境相信大家都不陌生。食品藥物管理署(以下簡稱食藥署)提醒民眾，藥品與一般商品不同，不當地取得及使用，可能會影響身體健康。食藥署提醒民眾謹記「正確用藥五不原則」。一、「不聽信」他人推薦藥品民眾偶爾會遇到親友推薦藥品，或是業者宣稱神奇療效的藥品。提醒民眾，每個人適合的藥品不一定相同，若有身體不適，應就醫治療或至藥局諮詢藥事人員，切勿聽信他人推薦購買藥品。二、「不亂買」來路不明藥品民眾有用藥需求，應就醫由醫師開立處方藥，或至藥局購買指示藥，切勿購買來路不明的藥品。尤其近年許多假借藥商/藥局名義於網路販售藥品，這些網站多數為非法境外網站，且從國外寄送不法藥品來台，購買者可能違反藥事法輸入禁藥之規定。三、「不亂停藥」以避免病情惡化民眾應依據醫囑或藥袋標示，按時服用藥品，切勿因症狀緩和而擅自停藥，可能導致病情惡化，甚至增加後續治療的困難。四、「不共享」藥品給其他人使用每個人的體質條件不同，即使出現相同的症狀，合適的藥品種類和劑量也可能不同。因此民眾不應將自己的處方藥提供給他人使用，以免延誤就醫或導致不良反應，傷了他人身體又傷感情。五、「不囤積」使用剩下的藥品有些民眾習慣將治療後未使用完的藥品儲存起來，以便未來有需要時可以使用。提醒民眾，每次病情不一定相同，胡亂自行服用藥品，對身體恐怕有害無益。    食藥署再次提醒民眾，每個人的身體狀況不同，民眾若有身體不適，應就醫治療或至藥局諮詢藥事人員，並依照醫囑或藥事人員指示使用藥品，才是用藥安全的不二法門。                ,2023-10-04,https://www.fda.gov.tw/tc/newsContent.aspx?cid=4&id=t622155
